okkervil river	2870	1	3	0 0 0 0 0 1 1	0 0 1 0 0 0 3 0
jim sturgess	2427	0	1	0 0 0 0 0 0 0	0 0 0 0 0 0 1 0
deerhoof	3132	3	2	0 0 0 0 0 1 3	0 0 1 0 0 0 4 0
fear before the march of flames	2418	1	1	0 0 0 0 0 0 1	0 0 1 0 0 0 1 0
breathe carolina	2285	0	1	0 0 0 0 0 0 0	0 0 1 0 0 0 1 0
mstrkrft	2106	1	1	0 0 0 0 0 0 1	0 0 1 0 0 0 1 0
arcade fire	4083	11	5	0 0 0 0 11 3 3	1 1 6 1 0 0 8 1
the strokes	4869	8	6	0 0 0 0 3 4 5	0 1 8 0 0 0 3 3
cancer bats	1703	0	1	0 0 0 0 0 0 0	0 0 0 0 0 0 1 0
the honorary title	1868	0	1	0 0 0 0 0 0 1	0 0 0 0 0 0 2 0
michio kurihara	1530	0	1	0 0 0 0 0 0 0	0 0 0 0 0 0 1 0
mgmt	3207	9	7	0 0 0 0 2 3 9	0 0 11 0 0 0 5 0
queen	6334	14	4	0 0 1 1 1 10 4	0 0 15 1 0 1 3 0
the secret handshake	1384	0	1	0 0 0 0 0 0 0	0 0 0 0 0 0 1 0
animal collective	4178	9	5	0 0 0 0 3 4 7	0 1 4 0 0 0 10 0
heavy heavy low low	1323	0	1	0 0 0 0 0 0 0	0 0 0 0 0 0 1 0
hot hot heat	1312	0	1	0 0 0 0 0 0 0	0 0 0 0 0 0 1 0
hadouken!	1254	0	1	0 0 0 0 0 0 0	0 0 0 0 0 0 1 0
the wombats	1441	0	3	0 0 0 0 0 1 1	0 0 2 0 0 0 1 0
ai aso	1232	0	1	0 0 0 0 0 0 0	0 0 0 0 0 0 1 0
boris with michio kurihara	1034	0	1	0 0 0 0 0 0 0	0 0 0 0 0 0 1 0
uffie	1165	1	1	0 0 0 0 0 0 1	0 0 1 0 0 0 1 0
the last shadow puppets	1037	0	2	0 0 0 0 0 0 1	0 0 1 0 0 0 1 0
boys noize	952	2	1	0 0 0 0 0 0 2	0 0 2 0 0 0 1 0
built to spill	875	1	2	0 0 0 0 0 0 2	0 0 1 1 0 0 1 0
nujabes	772	0	2	0 0 0 0 0 0 1	0 0 0 1 0 0 1 0
the rocket summer	921	1	1	0 0 0 0 0 0 1	0 0 0 0 0 0 2 0
little dragon	672	0	1	0 0 0 0 0 0 0	0 0 0 0 0 0 1 0
boris with merzbow	636	0	1	0 0 0 0 0 0 0	0 0 0 0 0 0 1 0
the album leaf	1294	2	1	0 0 0 0 0 1 1	0 0 1 0 0 0 2 0
the microphones	1686	6	1	0 0 0 0 0 2 4	0 0 2 1 0 0 5 0
simian mobile disco	1004	4	1	0 0 0 0 0 2 3	0 0 5 0 0 0 1 0
m.i.a.	1385	4	3	0 0 0 0 1 2 2	0 0 5 1 0 0 1 0
death cab for cutie	5712	7	5	0 0 0 0 0 3 9	0 0 6 0 0 0 7 1
patrick wolf	2292	7	2	0 0 0 0 1 1 6	0 0 6 0 0 0 3 0
the fiery furnaces	592	0	2	0 0 0 0 0 0 1	0 0 0 0 0 0 2 0
digitalism	892	1	1	0 0 0 0 0 0 1	0 0 1 0 0 0 1 0
current 93	853	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
coil	567	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
andrew liles	248	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
six organs of admittance	652	4	1	0 0 0 0 0 2 3	1 1 2 0 0 0 2 0
16 horsepower	345	1	0	0 0 0 0 0 0 1	0 0 2 0 0 0 0 0
angels of light	224	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
the legendary pink dots	370	0	0	0 0 0 0 0 0 1	0 0 2 0 0 0 0 0
charalambides	193	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
festival	167	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
fern knight	137	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
nick cave & the bad seeds	1378	1	0	0 0 0 0 0 0 1	0 0 3 0 0 0 0 0
fovea hex	121	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
amanda rogers	119	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
lux interna	114	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
nalle	110	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
antony and the johnsons	1851	4	2	0 0 0 0 1 4 4	0 1 6 1 0 0 3 0
marissa nadler	213	0	2	0 0 0 0 0 1 1	0 0 3 0 0 0 0 0
a silver mt. zion	634	2	1	0 0 0 0 0 1 2	0 0 2 0 0 0 2 0
einstürzende neubauten	312	2	0	0 0 0 0 0 1 2	0 0 3 1 0 0 0 0
marc almond	105	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
mariee sioux	100	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
björk	1578	5	5	0 0 0 0 2 4 4	0 1 8 0 0 0 1 3
bill fay	92	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
nurse with wound	88	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
baby dee	71	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
ghq	71	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
daniel higgs	67	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
flairck	66	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
jack rose	276	1	0	0 0 0 0 0 0 1	0 1 1 0 0 0 0 0
castanets	64	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
john jacob niles	57	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
the revolutionary army of the infant jesus	57	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
carter tutti	56	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
the one ensemble	55	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
orion rigel dommisse	54	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
jocelyn pook	53	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
matmos	73	0	1	0 0 0 0 0 0 1	0 0 2 0 0 0 0 0
ulver	1511	2	3	0 0 0 0 0 1 2	0 0 4 0 0 0 1 1
ane brun	181	1	1	0 0 0 0 0 1 1	0 0 3 0 0 0 0 0
soisong	51	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
a hawk and a hacksaw	124	0	1	0 0 0 0 0 0 1	0 0 2 0 0 0 0 0
frank london	45	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
michael gira	44	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
larkin grimm	43	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
pelt	41	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
jean parlette	40	0	0	0 0 0 0 0 0 0	0 0 1 0 0 0 0 0
opeth	1989	8	3	0 0 0 0 0 2 7	0 0 8 0 0 0 2 1
cannibal corpse	1079	6	3	0 0 0 0 0 3 5	0 0 5 0 0 1 2 2
elis	31	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
amoral	118	2	0	0 0 0 0 0 1 1	0 0 1 0 0 0 1 0
amon amarth	4345	9	2	0 0 0 0 2 3 5	0 0 5 0 0 1 3 2
riverside	277	2	0	0 0 0 0 0 1 1	0 0 1 0 0 0 1 0
dark tranquillity	2197	8	1	0 0 0 0 2 3 3	0 0 6 0 0 1 2 0
atrocity	16	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
kromlek	16	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
kamelot	2521	4	0	0 0 0 0 1 1 2	0 0 2 0 0 1 1 0
novembers doom	1300	3	0	0 0 0 0 0 1 2	0 0 2 0 0 0 1 0
poe	14	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
rock universal	14	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
dido	1986	6	1	0 0 0 0 0 3 3	0 0 3 1 0 0 2 1
stone temple pilots	664	3	1	0 0 0 0 0 1 3	0 0 2 0 0 0 2 0
audioslave	498	5	0	0 0 0 0 1 2 3	0 0 4 0 0 0 2 1
katatonia	1609	4	3	0 0 0 0 0 1 4	0 0 6 0 0 0 1 0
ark	55	2	0	0 0 0 0 0 0 2	0 0 1 0 0 0 1 0
circus maximus	166	2	0	0 0 0 0 0 0 2	0 0 1 0 0 0 1 0
dimmu borgir	2771	6	2	0 0 0 0 0 3 5	0 0 5 0 0 0 2 1
death	938	2	3	0 0 0 0 0 2 2	0 0 3 0 0 0 2 0
månegarm	222	1	1	0 0 0 0 0 0 2	0 0 1 0 0 0 1 0
cynic	8	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
korpiklaani	1100	6	2	0 0 0 0 2 2 3	0 0 4 0 0 1 1 2
my dying bride	880	4	2	0 0 0 0 0 1 1	0 0 5 0 0 0 1 0
brujeria	360	2	0	0 0 0 0 0 0 2	0 0 0 0 0 0 1 1
agalloch	610	2	2	0 0 0 0 0 2 2	0 0 2 0 0 0 2 0
alice in chains	1397	4	3	0 0 0 0 0 2 5	0 0 2 0 0 0 4 1
johann sebastian bach	299	3	0	0 0 0 0 0 1 2	0 0 0 0 0 1 1 1
kalmah	520	4	0	0 0 0 0 1 1 2	0 0 2 0 0 1 1 0
farmakon	5	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
children of bodom	3604	12	2	0 0 0 0 1 4 8	0 0 9 0 0 1 3 1
dragonforce	725	4	0	0 0 0 0 1 1 2	0 0 2 1 0 0 1 0
dredg	200	3	0	0 0 0 0 0 1 1	0 0 1 0 0 0 2 0
green carnation	4	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
pain of salvation	4	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
rhapsody of fire	605	2	0	0 0 0 0 0 1 1	0 0 1 0 0 0 1 0
the mars volta	452	4	1	0 0 0 0 0 2 3	0 0 3 0 0 0 1 1
tool	2345	9	2	0 0 0 0 0 4 7	0 0 9 1 0 0 2 0
arch enemy	3414	9	3	0 0 0 0 3 4 4	0 0 8 0 0 1 3 0
at the gates	3	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
compay segundo	20	2	0	0 0 0 0 0 1 1	0 0 1 0 0 0 1 0
ensiferum	1633	5	1	0 0 0 0 2 2 2	0 0 4 0 0 0 1 1
naglfar	115	2	0	0 0 0 0 0 0 1	0 0 1 0 0 0 1 0
nevermore	7	2	0	0 0 0 0 0 0 2	0 0 0 0 0 0 1 1
old mans child	3	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
shade empire	81	2	0	0 0 0 0 0 0 1	0 0 1 0 0 0 1 0
system of a down	2223	11	2	0 0 0 0 1 2 8	0 0 11 0 0 0 1 1
tristania	1721	3	2	0 0 0 0 0 1 3	0 0 4 0 0 0 1 0
devendra banhart	4240	6	3	0 0 0 0 1 2 5	0 1 2 0 0 0 6 0
boards of canada	3506	6	1	0 0 0 0 0 1 7	0 0 7 0 0 0 3 0
cocorosie	2332	5	4	0 0 0 0 2 4 5	1 0 6 0 0 0 4 0
aphex twin	1247	6	1	0 0 0 0 1 1 5	0 0 6 0 0 0 2 0
atmosphere	456	2	0	0 0 0 0 0 0 2	0 0 2 0 0 0 1 0
joanna newsom	623	5	0	0 0 0 0 0 2 3	1 0 1 0 0 0 3 0
air	3071	10	4	0 0 0 1 2 3 6	0 1 8 1 0 0 6 0
portishead	2792	11	7	0 0 0 0 3 5 8	0 2 13 2 0 0 2 1
massive attack	2431	9	3	0 0 0 0 1 4 6	0 0 11 0 0 0 2 0
plaid	194	2	1	0 0 0 0 0 1 2	0 0 2 0 0 0 1 0
fog	132	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
prefuse 73	121	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
m83	1323	7	0	0 0 0 0 0 1 6	0 0 1 0 0 0 6 0
the flashbulb	144	1	0	0 0 0 0 0 0 1	0 0 1 0 0 0 1 0
pavement	417	3	2	0 0 0 0 0 1 4	0 1 1 0 0 0 3 0
amon tobin	1162	5	1	0 0 0 0 0 1 4	0 0 5 0 0 0 1 0
sage francis	106	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
four tet	1122	2	0	0 0 0 0 0 0 2	0 0 1 0 0 0 1 0
brother ali	132	1	0	0 0 0 0 0 0 1	0 0 1 0 0 0 1 0
max richter	94	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
why?	367	2	0	0 0 0 0 0 0 2	0 0 1 0 0 0 1 0
autechre	86	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
radiohead	24153	31	17	0 0 0 1 10 11 26	1 2 30 1 0 1 16 3
susumu yokota	85	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
electrelane	386	1	1	0 0 0 0 0 0 2	0 0 0 1 0 0 1 0
neutral milk hotel	879	2	1	0 0 0 0 0 2 2	0 0 0 0 0 0 4 0
bent	81	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
vetiver	314	2	1	0 0 0 0 1 1 1	0 0 1 0 0 0 2 0
k-the-i???	78	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
illogic	76	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
annie	136	2	0	0 0 0 0 0 0 2	0 0 1 0 0 0 1 1
broadcast	434	2	2	0 0 0 0 1 1 2	0 1 0 0 0 0 3 0
beastie boys	568	4	1	0 0 0 0 0 2 4	0 0 3 1 0 0 3 0
aesop rock	363	3	0	0 0 0 0 0 1 2	0 0 0 0 0 0 3 0
mf doom	491	2	0	0 0 0 0 0 0 2	0 0 0 0 0 0 2 0
the books	210	2	0	0 0 0 0 0 1 2	0 0 1 0 0 0 2 0
bibio	69	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
rachel's	69	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
architecture in helsinki	2082	4	1	0 0 0 0 1 2 3	0 0 2 0 0 0 4 0
bola	68	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
isan	68	1	0	0 0 0 0 0 0 1	0 0 0 0 0 0 1 0
apes & androids	174	2	0	0 0 0 0 0 1 1	0 0 1 0 0 0 1 0
múm	1376	5	4	0 0 0 0 0 2 6	0 1 5 0 0 0 3 0
elliott smith	2664	7	3	0 0 0 0 1 5 6	0 0 1 1 0 0 9 1
caribou	403	2	1	0 0 0 0 0 1 2	0 2 0 0 0 0 1 0
the hold steady	1955	1	0	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
mogwai	4272	7	1	0 0 0 0 0 2 5	0 1 5 0 0 0 3 0
justice	2280	6	0	0 0 0 0 0 2 4	0 1 5 0 0 0 0 0
sigur rós	7400	14	8	0 0 0 0 11 4 7	0 1 15 1 0 0 8 0
clutch	1045	3	0	0 0 0 0 0 0 3	0 0 3 0 0 0 0 0
white denim	817	2	0	0 0 0 0 0 1 1	0 0 1 0 0 0 1 0
the go! team	1686	3	1	0 0 0 0 1 1 2	0 0 2 1 0 0 2 0
the beatles	11963	22	11	0 0 1 11 17 2 2	1 2 17 2 0 2 13 0
2 many dj's	794	1	0	0 0 0 0 0 0 2	0 0 2 0 0 0 0 0
tv on the radio	1008	3	1	0 0 0 0 1 1 2	0 0 3 0 0 0 1 0
kyuss	478	1	0	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
dj shadow	1343	5	0	0 0 0 0 0 2 3	0 1 6 0 0 0 0 0
a tribe called quest	971	3	0	0 0 0 0 0 1 2	0 0 1 0 0 0 2 0
the cinematic orchestra	702	4	0	0 0 0 0 0 1 3	0 0 3 0 0 0 1 0
beck	3331	10	6	0 0 0 1 2 4 7	0 2 7 1 0 0 7 0
bon iver	1285	5	3	0 0 0 0 2 3 3	0 0 5 1 0 0 3 0
röyksopp	3482	8	5	0 0 0 0 2 3 6	0 0 11 1 0 0 1 0
rex the dog	300	1	0	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
bonobo	692	5	1	0 0 0 0 0 1 4	0 0 5 1 0 0 0 0
deadmau5	367	3	0	0 0 0 0 0 1 2	0 0 3 0 0 0 0 0
the decemberists	1842	6	1	0 0 0 0 1 2 4	0 0 2 1 0 1 4 0
earth	358	2	0	0 0 0 0 0 0 2	0 0 2 0 0 0 0 0
snow patrol	2487	8	1	0 0 0 0 1 2 4	0 0 9 0 0 0 1 0
battles	384	2	1	0 0 0 0 0 1 2	0 0 3 0 0 0 0 0
metronomy	473	2	0	0 0 0 0 0 1 1	0 0 2 0 0 0 0 0
dj format	247	1	0	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
the prodigy	797	9	2	0 0 0 0 0 1 7	0 0 11 1 0 0 0 0
lemon jelly	666	3	0	0 0 0 0 0 1 1	0 0 3 0 0 0 0 0
pink floyd	6661	12	3	0 0 0 0 2 5 8	1 0 11 1 0 1 2 0
rjd2	280	2	0	0 0 0 0 0 0 2	0 1 2 0 0 0 0 0
the flaming lips	925	5	0	0 0 0 1 1 2 3	0 0 2 0 0 0 5 0
alasdair fraser & paul machlis	211	1	0	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
passion pit	232	2	0	0 0 0 0 0 1 1	0 0 2 0 0 0 0 0
holy fuck	436	3	0	0 0 0 0 0 1 2	0 0 3 0 0 0 0 0
michael jackson	602	4	1	0 0 0 0 0 3 3	0 0 5 0 0 1 1 0
late of the pier	354	3	0	0 0 0 0 0 1 2	0 0 3 0 0 0 0 0
flight of the conchords	771	4	0	0 0 0 0 1 1 2	1 0 4 0 0 0 0 0
muse	5093	22	4	0 0 0 0 12 4 9	0 1 23 0 0 0 4 1
fleetwood mac	943	5	1	0 0 0 0 0 2 3	0 0 4 1 0 0 2 0
led zeppelin	3083	10	6	0 0 0 1 10 2 4	0 1 9 1 0 2 6 0
stam1na	1187	3	0	0 0 0 0 0 1 2	0 0 3 0 0 0 0 0
dream theater	4690	8	2	0 0 0 0 1 3 4	0 0 7 0 0 1 2 0
ac/dc	1526	7	1	0 0 0 0 2 3 3	0 0 6 0 0 1 1 1
metallica	7646	14	7	0 0 0 0 11 2 4	0 0 15 0 0 3 2 2
iron maiden	2541	9	2	0 0 0 0 2 3 7	0 0 10 2 0 0 3 0
bob marley & the wailers	611	3	1	0 0 0 0 0 1 3	0 0 4 0 0 0 0 0
megadeth	738	6	1	0 0 0 0 0 2 4	0 0 5 0 0 1 1 0
trivium	511	4	1	0 0 0 0 0 2 3	0 0 3 0 0 1 1 0
raappana	1066	2	0	0 0 0 0 0 1 2	0 0 3 0 0 0 0 0
nightwish	5537	10	4	0 0 0 0 1 5 8	0 0 12 0 0 1 2 0
kotiteollisuus	160	1	0	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
sublime	1203	3	1	0 0 0 0 1 2 2	0 0 1 0 0 0 2 2
viikate	571	3	0	0 0 0 0 0 0 2	0 0 3 0 0 0 0 0
volbeat	485	3	0	0 0 0 0 0 1 1	0 0 3 0 0 0 0 0
guns n' roses	751	7	1	0 0 0 0 1 3 4	0 0 5 0 0 1 2 0
bon jovi	544	5	0	0 0 0 0 0 2 2	0 1 2 0 0 1 1 0
dio	111	2	0	0 0 0 0 0 0 2	0 0 3 0 0 0 0 0
soldiers of jah army	153	2	0	0 0 0 0 0 1 1	0 0 2 0 0 0 0 0
scorpions	315	4	1	0 0 0 0 0 2 3	0 0 4 0 0 0 1 0
teräsbetoni	95	1	0	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
nopsajalka	139	2	0	0 0 0 0 0 1 2	0 0 3 0 0 0 0 0
paramore	1580	5	1	0 0 0 0 0 1 6	0 0 6 0 0 0 2 0
the darkness	320	2	0	0 0 0 0 0 1 1	0 0 2 0 0 0 0 0
soul captain band	213	2	0	0 0 0 0 0 0 2	0 0 2 0 0 0 0 0
asa	1397	3	0	0 0 0 0 0 1 2	0 0 4 0 0 0 0 0
tarot	142	2	0	0 0 0 0 0 1 1	0 0 2 0 0 0 0 0
klamydia	396	3	0	0 0 0 0 0 0 3	0 0 2 0 0 0 0 1
gentleman	61	1	0	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
mötley crüe	381	2	0	0 0 0 0 0 1 1	0 0 2 0 0 0 0 0
manowar	1130	6	0	0 0 0 0 1 2 3	0 0 4 0 0 0 1 1
killswitch engage	1039	6	0	0 0 0 0 0 1 4	0 0 4 0 0 0 1 1
slayer	795	4	1	0 0 0 0 1 2 2	0 0 3 0 0 0 2 1
in flames	7268	14	3	0 0 0 0 3 4 9	0 0 14 0 0 0 2 1
skid row	119	2	0	0 0 0 0 0 0 2	0 0 2 0 0 0 0 0
stone	46	1	0	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
bullet for my valentine	634	5	0	0 0 0 0 0 1 2	0 0 5 0 0 0 0 0
mokoma	426	2	0	0 0 0 0 0 1 1	0 0 2 0 0 0 0 0
pantera	1180	6	1	0 0 0 0 1 2 4	0 0 3 0 0 0 2 2
brother firetribe	42	1	0	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
hurriganes	40	1	0	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
norther	1310	4	0	0 0 0 0 0 1 3	0 0 3 0 0 0 0 1
stratovarius	267	2	0	0 0 0 0 0 1 1	0 0 2 0 0 0 0 0
kiuas	195	2	0	0 0 0 0 0 1 1	0 0 2 0 0 0 0 0
ozzy osbourne	55	3	0	0 0 0 0 1 1 1	0 0 2 0 0 1 0 0
pin	421	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
feel	401	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
elton john	331	3	3	0 0 0 0 0 2 4	0 1 6 0 0 0 0 0
orgy	254	1	1	0 0 0 0 0 0 2	0 0 1 0 0 0 1 0
brandy	289	1	2	0 0 0 0 0 1 2	0 1 2 0 0 0 0 0
pet shop boys	423	2	2	0 0 0 0 1 1 2	0 1 2 0 0 0 1 0
sade	144	1	1	0 0 0 0 0 1 1	0 0 2 0 0 0 1 0
belinda carlisle	97	0	1	0 0 0 0 0 0 1	0 0 1 0 0 0 0 0
